date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:56:24	108/108	---M-Z	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp0.z)')	text/plain	etag:%22f37eb491d7fced75637c4262cd392302%22	https://make-hexagon-685475.framer.app/robots.txt		(from )
10:56:25	190837/190837	---M-Z	200	added ('OK')	text/html	etag:%228781fb4db2ad6e26aacb052e905a9eef%22	https://make-hexagon-685475.framer.app/	make-hexagon-685475.framer.app/index.html	(from )
10:56:26	171297/171297	---M-Z	200	added ('OK')	text/html	etag:%2234e4d1348b3339c2190f7e2b4a160ee5%22	https://make-hexagon-685475.framer.app/projects/luminous	make-hexagon-685475.framer.app/projects/luminous.html	(from https://make-hexagon-685475.framer.app/)
10:56:27	176953/176953	---M-Z	200	added ('OK')	text/html	etag:%2235e9cb40848438681c888ebe3d6eaa65%22	https://make-hexagon-685475.framer.app/about	make-hexagon-685475.framer.app/about.html	(from https://make-hexagon-685475.framer.app/)
10:56:28	237070/237070	---M-Z	200	added ('OK')	text/html	etag:%229ca04097350d0e45b45ebd6007daef55%22	https://make-hexagon-685475.framer.app/projects	make-hexagon-685475.framer.app/projects.html	(from https://make-hexagon-685475.framer.app/)
10:56:29	274086/274086	---M-Z	200	added ('OK')	text/html	etag:%226f1ffe6ff281f8e2304b128294cd43f9%22	https://make-hexagon-685475.framer.app/blog	make-hexagon-685475.framer.app/blog.html	(from https://make-hexagon-685475.framer.app/)
10:56:30	208443/208443	---M-Z	200	added ('OK')	text/html	etag:%22a44e0e7655f5db8c97d844ae7617adf3%22	https://make-hexagon-685475.framer.app/contact	make-hexagon-685475.framer.app/contact.html	(from https://make-hexagon-685475.framer.app/)
10:56:31	171545/171545	---M-Z	200	added ('OK')	text/html	etag:%22de079d209bd65342ac260cce31cf8b01%22	https://make-hexagon-685475.framer.app/projects/nova	make-hexagon-685475.framer.app/projects/nova.html	(from https://make-hexagon-685475.framer.app/projects)
10:56:32	171373/171373	---M-Z	200	added ('OK')	text/html	etag:%22d039bff5e783dceba3e93d33eb62ea69%22	https://make-hexagon-685475.framer.app/projects/osaka	make-hexagon-685475.framer.app/projects/osaka.html	(from https://make-hexagon-685475.framer.app/projects)
10:56:33	171403/171403	---M-Z	200	added ('OK')	text/html	etag:%2208c622b7629a872741f25aa4e1393a8c%22	https://make-hexagon-685475.framer.app/projects/atlas	make-hexagon-685475.framer.app/projects/atlas.html	(from https://make-hexagon-685475.framer.app/projects)
10:56:33	173222/173222	---M-Z	200	added ('OK')	text/html	etag:%22ae3ce4dc3c5cc2f99a743e4a1be01df9%22	https://make-hexagon-685475.framer.app/blog/beyond-the-pixels-why-we-interview-designers-makers-and-creative-thinkers	make-hexagon-685475.framer.app/blog/beyond-the-pixels-why-we-interview-designers-makers-and-creative-thinkers.html	(from https://make-hexagon-685475.framer.app/blog)
10:56:34	173464/173464	---M-Z	200	added ('OK')	text/html	etag:%220e685baaff1595ade01235b2e1c24a70%22	https://make-hexagon-685475.framer.app/blog/how-we-collaborate-with-clients-on-design-projects	make-hexagon-685475.framer.app/blog/how-we-collaborate-with-clients-on-design-projects.html	(from https://make-hexagon-685475.framer.app/blog)
10:56:36	172787/172787	---M-Z	200	added ('OK')	text/html	etag:%22b4cd997090ae5836d09216bd0f8fc7ab%22	https://make-hexagon-685475.framer.app/blog/designing-with-feeling-why-emotion-is-a-creative-superpower	make-hexagon-685475.framer.app/blog/designing-with-feeling-why-emotion-is-a-creative-superpower.html	(from https://make-hexagon-685475.framer.app/blog)
10:56:36	172741/172741	---M-Z	200	added ('OK')	text/html	etag:%2272d6ada0ddcab740193524dcb576184b%22	https://make-hexagon-685475.framer.app/blog/finding-design-inspiration-in-unexpected-places	make-hexagon-685475.framer.app/blog/finding-design-inspiration-in-unexpected-places.html	(from https://make-hexagon-685475.framer.app/blog)
10:56:38	173495/173495	---M-Z	200	added ('OK')	text/html	etag:%222553a8d62a43a4ff6d8e157e1990b4ec%22	https://make-hexagon-685475.framer.app/blog/why-we-share-freebies-and-what-you-can-get-right-now	make-hexagon-685475.framer.app/blog/why-we-share-freebies-and-what-you-can-get-right-now.html	(from https://make-hexagon-685475.framer.app/blog)
